meter_id,resource_id,timestamp,actual_mw,interval_seconds
MTR-000001,RES-001,2025-07-01 00:30:00,0.0,3600
MTR-000002,RES-001,2025-07-01 01:30:00,0.05,3600
MTR-000003,RES-001,2025-07-01 02:30:00,0.0,3600
MTR-000004,RES-001,2025-07-01 03:30:00,0.0,3600
MTR-000005,RES-001,2025-07-01 04:30:00,0.0,3600
MTR-000006,RES-001,2025-07-01 05:30:00,0.14,3600
MTR-000007,RES-001,2025-07-01 06:30:00,9.79,3600
MTR-000008,RES-001,2025-07-01 07:30:00,21.4,3600
MTR-000009,RES-001,2025-07-01 08:30:00,25.69,3600
MTR-000010,RES-001,2025-07-01 09:30:00,37.13,3600
MTR-000011,RES-001,2025-07-01 10:30:00,40.69,3600
MTR-000012,RES-001,2025-07-01 11:30:00,39.69,3600
MTR-000013,RES-001,2025-07-01 12:30:00,22.27,3600
MTR-000014,RES-001,2025-07-01 13:30:00,50.33,3600
MTR-000015,RES-001,2025-07-01 14:30:00,40.04,3600
MTR-000016,RES-001,2025-07-01 15:30:00,38.97,3600
MTR-000017,RES-001,2025-07-01 16:30:00,16.58,3600
MTR-000018,RES-001,2025-07-01 17:30:00,17.63,3600
MTR-000019,RES-001,2025-07-01 18:30:00,5.49,3600
MTR-000020,RES-001,2025-07-01 19:30:00,0.0,3600
MTR-000021,RES-001,2025-07-01 20:30:00,0.0,3600
MTR-000022,RES-001,2025-07-01 21:30:00,0.03,3600
MTR-000023,RES-001,2025-07-01 22:30:00,0.0,3600
MTR-000024,RES-001,2025-07-01 23:30:00,0.08,3600
MTR-000025,RES-001,2025-07-02 00:30:00,0.0,3600
MTR-000026,RES-001,2025-07-02 01:30:00,0.0,3600
MTR-000027,RES-001,2025-07-02 02:30:00,0.0,3600
MTR-000028,RES-001,2025-07-02 03:30:00,0.13,3600
MTR-000029,RES-001,2025-07-02 04:30:00,0.0,3600
MTR-000030,RES-001,2025-07-02 05:30:00,0.04,3600
MTR-000031,RES-001,2025-07-02 06:30:00,9.49,3600
MTR-000032,RES-001,2025-07-02 07:30:00,18.96,3600
MTR-000033,RES-001,2025-07-02 08:30:00,27.54,3600
MTR-000034,RES-001,2025-07-02 09:30:00,38.86,3600
MTR-000035,RES-001,2025-07-02 10:30:00,41.83,3600
MTR-000036,RES-001,2025-07-02 11:30:00,28.44,3600
MTR-000037,RES-001,2025-07-02 12:30:00,41.79,3600
MTR-000038,RES-001,2025-07-02 13:30:00,0.13,3600
MTR-000039,RES-001,2025-07-02 14:30:00,41.32,3600
MTR-000040,RES-001,2025-07-02 15:30:00,37.83,3600
MTR-000041,RES-001,2025-07-02 16:30:00,26.48,3600
MTR-000042,RES-001,2025-07-02 17:30:00,17.37,3600
MTR-000043,RES-001,2025-07-02 18:30:00,9.13,3600
MTR-000044,RES-001,2025-07-02 19:30:00,0.03,3600
MTR-000045,RES-001,2025-07-02 20:30:00,0.0,3600
MTR-000046,RES-001,2025-07-02 21:30:00,0.02,3600
MTR-000047,RES-001,2025-07-02 22:30:00,0.16,3600
MTR-000048,RES-001,2025-07-02 23:30:00,0.1,3600
MTR-000049,RES-001,2025-07-03 00:30:00,0.09,3600
MTR-000050,RES-001,2025-07-03 01:30:00,0.0,3600
MTR-000051,RES-001,2025-07-03 02:30:00,0.0,3600
MTR-000052,RES-001,2025-07-03 03:30:00,0.1,3600
MTR-000053,RES-001,2025-07-03 04:30:00,0.09,3600
MTR-000054,RES-001,2025-07-03 05:30:00,0.15,3600
MTR-000055,RES-001,2025-07-03 06:30:00,10.71,3600
MTR-000056,RES-001,2025-07-03 07:30:00,20.68,3600
MTR-000057,RES-001,2025-07-03 08:30:00,25.37,3600
MTR-000058,RES-001,2025-07-03 09:30:00,31.11,3600
MTR-000059,RES-001,2025-07-03 10:30:00,0.1,3600
MTR-000060,RES-001,2025-07-03 11:30:00,38.69,3600
MTR-000061,RES-001,2025-07-03 12:30:00,0.06,3600
MTR-000062,RES-001,2025-07-03 13:30:00,-0.02,3600
MTR-000063,RES-001,2025-07-03 14:30:00,0.03,3600
MTR-000064,RES-001,2025-07-03 15:30:00,37.79,3600
MTR-000065,RES-001,2025-07-03 16:30:00,27.96,3600
MTR-000066,RES-001,2025-07-03 17:30:00,12.02,3600
MTR-000067,RES-001,2025-07-03 18:30:00,9.55,3600
MTR-000068,RES-001,2025-07-03 19:30:00,0.0,3600
MTR-000069,RES-001,2025-07-03 20:30:00,0.12,3600
MTR-000070,RES-001,2025-07-03 21:30:00,0.08,3600
MTR-000071,RES-001,2025-07-03 22:30:00,0.05,3600
MTR-000072,RES-001,2025-07-03 23:30:00,0.15,3600
MTR-000073,RES-001,2025-07-04 00:30:00,0.0,3600
MTR-000074,RES-001,2025-07-04 01:30:00,0.17,3600
MTR-000075,RES-001,2025-07-04 02:30:00,0.09,3600
MTR-000076,RES-001,2025-07-04 03:30:00,0.0,3600
MTR-000077,RES-001,2025-07-04 04:30:00,0.11,3600
MTR-000078,RES-001,2025-07-04 05:30:00,0.0,3600
MTR-000079,RES-001,2025-07-04 06:30:00,9.36,3600
MTR-000080,RES-001,2025-07-04 07:30:00,21.28,3600
MTR-000081,RES-001,2025-07-04 08:30:00,28.34,3600
MTR-000082,RES-001,2025-07-04 09:30:00,21.63,3600
MTR-000083,RES-001,2025-07-04 10:30:00,43.97,3600
MTR-000084,RES-001,2025-07-04 11:30:00,46.63,3600
MTR-000085,RES-001,2025-07-04 12:30:00,46.96,3600
MTR-000086,RES-001,2025-07-04 13:30:00,34.05,3600
MTR-000087,RES-001,2025-07-04 14:30:00,37.49,3600
MTR-000088,RES-001,2025-07-04 15:30:00,38.73,3600
MTR-000089,RES-001,2025-07-04 16:30:00,25.1,3600
MTR-000090,RES-001,2025-07-04 17:30:00,18.97,3600
MTR-000091,RES-001,2025-07-04 18:30:00,9.49,3600
MTR-000092,RES-001,2025-07-04 19:30:00,0.2,3600
MTR-000093,RES-001,2025-07-04 20:30:00,0.09,3600
MTR-000094,RES-001,2025-07-04 21:30:00,0.01,3600
MTR-000095,RES-001,2025-07-04 22:30:00,0.13,3600
MTR-000096,RES-001,2025-07-04 23:30:00,0.0,3600
MTR-000097,RES-001,2025-07-05 00:30:00,0.05,3600
MTR-000098,RES-001,2025-07-05 01:30:00,0.02,3600
